Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
StackGeom,0.309247,0.150322,0.006674,0.003437
WingGeom,0.405558,0.178839,0.004065,0.001899
WingGeom,0.405558,0.180072,0.004065,0.001912
PropGeom,0.017221,0.017221,-0.002296,-0.002432
MeshGeom,0.288461,0.147137,0.006259,0.003382
MeshGeom,0.716685,0.366783,0.007312,0.003964
Totals,2.142729,1.040374,0.026079,0.012162

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
StackGeom_S_Surf0,0.154623,0.062085
StackGeom_S_Surf1,0.154623,0.088238
WingGeom_S_Surf0,0.370286,0.161520
WingGeom_S_Surf1,0.370286,0.161998
PropGeom_S_Surf0,0.017221,0.017221
MeshGeom_S_Surf0,0.288461,0.147137
MeshGeom_S_Surf0,0.716685,0.366783
WingGeom_S_Surf0,SS_CONT_0,0.035272,0.017319
WingGeom_S_Surf1,SS_CONT_0,0.035272,0.018073
