NACA 0012
 1.00000     0.00000
 0.98989     0.00267
 0.97186     0.00514
 0.94913     0.00818
 0.92294     0.01158
 0.89407     0.01521
 0.86307     0.01898
 0.83037     0.02281
 0.79632     0.02664
 0.76123     0.03043
 0.72534     0.03413
 0.68889     0.03771
 0.65208     0.04114
 0.61510     0.04437
 0.57812     0.04739
 0.54129     0.05016
 0.50477     0.05264
 0.46869     0.05481
 0.43319     0.05663
 0.39839     0.05809
 0.36440     0.05915
 0.33133     0.05980
 0.29930     0.06002
 0.26840     0.05978
 0.23874     0.05909
 0.21041     0.05794
 0.18350     0.05632
 0.15810     0.05424
 0.13430     0.05172
 0.11217     0.04876
 0.09180     0.04538
 0.07327     0.04161
 0.05666     0.03747
 0.04203     0.03298
 0.02947     0.02817
 0.01904     0.02306
 0.01081     0.01768
 0.00485     0.01203
 0.00122     0.00613
 0.00000     0.00000
 0.00122    -0.00613
 0.00485    -0.01203
 0.01081    -0.01768
 0.01904    -0.02306
 0.02947    -0.02817
 0.04203    -0.03298
 0.05666    -0.03747
 0.07327    -0.04161
 0.09180    -0.04538
 0.11217    -0.04876
 0.13430    -0.05172
 0.15810    -0.05424
 0.18350    -0.05632
 0.21041    -0.05794
 0.23874    -0.05909
 0.26840    -0.05978
 0.29930    -0.06002
 0.33133    -0.05980
 0.36440    -0.05915
 0.39839    -0.05809
 0.43319    -0.05663
 0.46869    -0.05481
 0.50477    -0.05264
 0.54129    -0.05016
 0.57812    -0.04739
 0.61510    -0.04437
 0.65208    -0.04114
 0.68889    -0.03771
 0.72534    -0.03413
 0.76123    -0.03043
 0.79632    -0.02664
 0.83037    -0.02281
 0.86307    -0.01898
 0.89407    -0.01521
 0.92294    -0.01158
 0.94913    -0.00818
 0.97186    -0.00514
 0.98989    -0.00267
 1.00000     0.00000
