NACA 0005
 1.00000     0.00000
 0.98989     0.00111
 0.97186     0.00214
 0.94913     0.00341
 0.92294     0.00483
 0.89407     0.00634
 0.86307     0.00791
 0.83037     0.00950
 0.79632     0.01110
 0.76123     0.01268
 0.72534     0.01422
 0.68889     0.01571
 0.65208     0.01714
 0.61510     0.01849
 0.57812     0.01975
 0.54129     0.02090
 0.50477     0.02193
 0.46869     0.02284
 0.43319     0.02360
 0.39839     0.02420
 0.36440     0.02465
 0.33133     0.02492
 0.29930     0.02501
 0.26840     0.02491
 0.23874     0.02462
 0.21041     0.02414
 0.18350     0.02347
 0.15810     0.02260
 0.13430     0.02155
 0.11217     0.02032
 0.09180     0.01891
 0.07327     0.01734
 0.05666     0.01561
 0.04203     0.01374
 0.02947     0.01174
 0.01904     0.00961
 0.01081     0.00737
 0.00485     0.00501
 0.00122     0.00256
 0.00000     0.00000
 0.00122    -0.00256
 0.00485    -0.00501
 0.01081    -0.00737
 0.01904    -0.00961
 0.02947    -0.01174
 0.04203    -0.01374
 0.05666    -0.01561
 0.07327    -0.01734
 0.09180    -0.01891
 0.11217    -0.02032
 0.13430    -0.02155
 0.15810    -0.02260
 0.18350    -0.02347
 0.21041    -0.02414
 0.23874    -0.02462
 0.26840    -0.02491
 0.29930    -0.02501
 0.33133    -0.02492
 0.36440    -0.02465
 0.39839    -0.02420
 0.43319    -0.02360
 0.46869    -0.02284
 0.50477    -0.02193
 0.54129    -0.02090
 0.57812    -0.01975
 0.61510    -0.01849
 0.65208    -0.01714
 0.68889    -0.01571
 0.72534    -0.01422
 0.76123    -0.01268
 0.79632    -0.01110
 0.83037    -0.00950
 0.86307    -0.00791
 0.89407    -0.00634
 0.92294    -0.00483
 0.94913    -0.00341
 0.97186    -0.00214
 0.98989    -0.00111
 1.00000     0.00000
